lat,lon,datetime
51.9056294,4.4893522,2019-08-28 20:04:57
51.9062767,4.4942512,2019-08-28 20:07:07
51.9047338,4.4914578,2019-08-28 20:07:39
51.9076972,4.489728,2019-08-28 20:09:22
51.9083999,4.4908335,2019-08-28 20:09:59
51.9119682,4.4824627,2019-08-28 20:11:30
51.9108278,4.4805729,2019-08-28 20:13:21
51.9099775,4.4841901,2019-08-28 20:15:10
51.9122453,4.4814637,2019-08-28 20:17:35
51.9119285,4.4814165,2019-08-28 20:19:43
51.9120443,4.4820892,2019-08-28 20:20:10
51.9122614,4.4813379,2019-08-28 20:21:58
51.9121507,4.4813403,2019-08-28 20:23:59
51.9110877,4.4811232,2019-08-28 20:24:21
51.9121522,4.4812582,2019-08-28 20:26:07
51.9121959,4.4814305,2019-08-28 20:28:15
51.9110877,4.4811232,2019-08-28 20:29:55
51.912266,4.4812716,2019-08-28 20:30:24
51.9093654,4.4828739,2019-08-28 20:35:09
51.9119838,4.4813681,2019-08-28 20:35:20
51.9119889,4.4815532,2019-08-28 20:38:08
51.9093654,4.4828739,2019-08-28 20:40:18
51.9123912,4.4813786,2019-08-28 20:45:10
51.9093654,4.4828739,2019-08-28 20:45:39
51.9110877,4.4811232,2019-08-28 20:45:47
51.9123506,4.4803164,2019-08-28 20:47:33
51.912147,4.4811811,2019-08-28 20:50:00
51.9110877,4.4811232,2019-08-28 20:51:02
51.9122409,4.4814921,2019-08-28 20:52:42
51.9121398,4.4813275,2019-08-28 20:56:00
51.9110877,4.4811232,2019-08-28 20:56:11
51.9121351,4.4812891,2019-08-28 21:00:04
51.9116392,4.4812962,2019-08-28 21:01:35
51.912029,4.4824925,2019-08-28 21:02:37
51.9116998,4.4824394,2019-08-28 21:02:52
51.9116998,4.4824394,2019-08-28 21:03:08
51.9124195,4.4809324,2019-08-28 21:03:38
51.9120017,4.4812658,2019-08-28 21:03:44
51.9118358,4.4812034,2019-08-28 21:05:47
51.9115531,4.4812778,2019-08-28 21:07:56
51.9109188,4.4855595,2019-08-28 21:09:15
51.9116788,4.4812658,2019-08-28 21:10:04
51.9115531,4.4812778,2019-08-28 21:12:12
51.9109188,4.4855595,2019-08-28 21:14:15
51.9123063,4.4814731,2019-08-28 21:14:54
51.9123063,4.4814731,2019-08-28 21:17:09
51.9115531,4.4812778,2019-08-28 21:19:18
51.9109188,4.4855595,2019-08-28 21:20:13
51.9116998,4.4824394,2019-08-28 21:20:29
51.9109188,4.4855595,2019-08-28 21:20:44
51.9109188,4.4855595,2019-08-28 21:20:59
51.9109188,4.4855595,2019-08-28 21:21:14
51.911689,4.4813088,2019-08-28 21:21:26
51.9109188,4.4855595,2019-08-28 21:21:29
51.9109188,4.4855595,2019-08-28 21:21:47
51.9109188,4.4855595,2019-08-28 21:22:02
51.9109188,4.4855595,2019-08-28 21:22:21
51.9118343,4.4813507,2019-08-28 21:23:34
51.9109188,4.4855595,2019-08-28 21:25:00
51.9117985,4.48134,2019-08-28 21:25:43
51.9118461,4.4813547,2019-08-28 21:27:52
51.9109188,4.4855595,2019-08-28 21:31:42
51.912004,4.4813887,2019-08-28 21:32:47
51.9109188,4.4855595,2019-08-28 21:35:15
51.9109188,4.4855595,2019-08-28 21:38:15
51.9118333,4.4812914,2019-08-28 21:39:48
51.9109188,4.4855595,2019-08-28 21:40:23
51.9118834,4.481333,2019-08-28 21:43:13
51.9109188,4.4855595,2019-08-28 21:45:41
51.9109188,4.4855595,2019-08-28 21:51:13
51.9109188,4.4855595,2019-08-28 21:56:14
51.9120886,4.481402,2019-08-28 22:00:00
51.9109188,4.4855595,2019-08-28 22:01:42
51.9109188,4.4855595,2019-08-28 22:06:43
51.9109188,4.4855595,2019-08-28 22:12:12
51.9109188,4.4855595,2019-08-28 22:17:42
51.9109188,4.4855595,2019-08-28 22:22:58
51.9110877,4.4811232,2019-08-28 22:23:15
51.9120054,4.481345,2019-08-28 22:30:19
51.9118735,4.4813589,2019-08-28 22:31:08
51.912009,4.4810957,2019-08-28 22:44:23
51.9117963,4.4812727,2019-08-28 22:46:30
51.9117589,4.4812439,2019-08-28 22:48:31
51.9117356,4.4812647,2019-08-28 22:50:33
51.9093654,4.4828739,2019-08-28 22:50:49
51.9117593,4.4812998,2019-08-28 22:52:40
51.9117185,4.4812943,2019-08-28 22:54:48
51.911764,4.4812524,2019-08-28 22:56:49
51.912031,4.4811197,2019-08-28 22:58:50
51.911778,4.4812031,2019-08-28 23:01:11
51.9093654,4.4828739,2019-08-28 23:06:15
51.9093654,4.4828739,2019-08-28 23:11:50
51.9093654,4.4828739,2019-08-28 23:17:40
51.9093654,4.4828739,2019-08-28 23:22:45
51.911796,4.481221,2019-08-28 23:24:27
51.9093654,4.4828739,2019-08-28 23:28:19
51.9110877,4.4811232,2019-08-28 23:28:20
51.9110877,4.4811232,2019-08-28 23:38:22
51.9117024,4.4813006,2019-08-28 23:40:02
51.9110877,4.4811232,2019-08-28 23:43:32
51.9110877,4.4811232,2019-08-28 23:48:50
51.9110877,4.4811232,2019-08-28 23:54:18
51.9117813,4.4813053,2019-08-28 23:55:02
51.9110877,4.4811232,2019-08-28 23:59:50
51.9110877,4.4811232,2019-08-29 00:04:51
51.9110877,4.4811232,2019-08-29 00:09:52
51.9110877,4.4811232,2019-08-29 00:10:08
51.9117262,4.4812922,2019-08-29 00:10:08
51.9118407,4.4813244,2019-08-29 00:25:35
51.9117718,4.4812892,2019-08-29 00:40:35
51.9121119,4.481192,2019-08-29 00:55:38
51.9118836,4.4813014,2019-08-29 01:01:59
51.9118836,4.4813014,2019-08-29 01:02:44
51.9118836,4.4813014,2019-08-29 01:03:44
51.9118836,4.4813014,2019-08-29 01:06:12
51.9110877,4.4811232,2019-08-29 01:07:44
51.9120176,4.4811917,2019-08-29 01:10:43
51.9110877,4.4811232,2019-08-29 01:12:46
51.9110877,4.4811232,2019-08-29 01:18:00
51.9110877,4.4811232,2019-08-29 01:23:38
51.9120951,4.4811107,2019-08-29 01:25:48
51.9110877,4.4811232,2019-08-29 01:27:13
51.9110877,4.4811232,2019-08-29 01:28:40
51.9110877,4.4811232,2019-08-29 01:33:48
51.9110877,4.4811232,2019-08-29 01:38:49
51.9119933,4.4811714,2019-08-29 01:41:10
51.9110877,4.4811232,2019-08-29 01:43:59
51.9110877,4.4811232,2019-08-29 01:49:31
51.9110877,4.4811232,2019-08-29 01:54:59
51.9118823,4.4813333,2019-08-29 01:56:20
51.9110877,4.4811232,2019-08-29 02:00:14
51.9110877,4.4811232,2019-08-29 02:05:15
51.9110877,4.4811232,2019-08-29 02:06:51
51.9118779,4.4813065,2019-08-29 02:11:36
51.9121604,4.4812219,2019-08-29 02:26:36
51.9118665,4.4813251,2019-08-29 03:02:37
51.9120616,4.4811697,2019-08-29 03:39:08
51.9118236,4.4812758,2019-08-29 04:15:09
51.9119913,4.4811307,2019-08-29 04:51:24
51.9118441,4.4812049,2019-08-29 05:27:24
51.9118781,4.4812638,2019-08-29 06:03:43
51.9120108,4.4813126,2019-08-29 06:40:28
51.9117152,4.4813181,2019-08-29 06:51:36
51.9117152,4.4813181,2019-08-29 06:57:44
51.9117208,4.4812319,2019-08-29 07:03:24
51.9117211,4.4813086,2019-08-29 07:09:04
51.9118181,4.4812658,2019-08-29 07:14:34
51.9119017,4.4812697,2019-08-29 07:15:10
51.9110877,4.4811232,2019-08-29 07:15:30
51.9118399,4.4812527,2019-08-29 07:30:27
51.9119175,4.4811487,2019-08-29 07:34:34
51.9115865,4.4812823,2019-08-29 07:44:07
